"3D Secure CAVV","3D CAVV an toàn"
"3D Secure Card Validation","Xác nhận thẻ 3D an toàn"
"3D Secure Cardholder Validation","Xác nhận chủ thẻ 3D an toàn"
"3D Secure Electronic Commerce Indicator","Chỉ số thương mại điện tử 3D an toàn"
"3D Secure Verification Result","Xác nhận kết quả 3D an toàn"
"3D Secure XID","3D XID an toàn"
"Card Issuer Liability","Trách nhiệm pháp lý nơi cấp thẻ"
"Card Verification","Xác nhận thẻ"
"Enrolled","Đăng kí"
"Enrolled but Authentication Unavailable","Xác thực đăng kí không khả dụng"
"Failed","Thất bại"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Trách nhiệm người mua bán"
"Not Enrolled","Không đăng kí được"
"Order cannot be placed.","Không thể cài đặt được."
"Payment information error. Please start over.","Thông tin thanh toán sai. Hãy bắt đầu lại."
"Please continue with placing order.","Hãy tiếp tục với việc đặt hàng."
"Please verify the card with the issuer bank before placing the order.","Hãy kiểm tra thẻ với ngân hàng phát hành trước khi đặt đơn hàng."
"Please verify the card with the issuer bank:","Hãy kiểm tra thẻ với ngân hàng phát hành:"
"Start/Reset Validation...","Xác nhận bắt đầu/đặt lại..."
"Successful","Thành công"
"Successful attempt","Cố gắng thành công"
"The card has failed verification with the issuer bank.","Thẻ không được xác minh với ngân hàng phát hành."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Thông tin thanh toán sai hoặc đã hết thời hạn. Xin vui lòng thử lại."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Thông tin thanh toán sai hoặc đã hết thời hạn. Xin vui lòng thử lại."
"This card has failed validation and cannot be used.","Xác nhận thẻ thất bại và thẻ không thể sử dụng."
"To ensure the security of your transactions","Để đảm bảo an toàn giao dịch của bạn"
"Unable to complete","Không thể hoàn thành"
"Validation failed.","Xác nhận thất bại."
"Verification Failed","Xác minh không thành công"
"Verification Successful","Xác minh thành công"
"Verification cannot be processed","Xác minh không thể xử lý được"
"Verified by Visa","Xác nhận bởi Visa"
