"A block identifier with the same properties already exists in the selected store.","Một block với tính chất tương tự đã tồn tại trong lựa chọn của cửa hàng."
"A directory with the same name already exists. Please try another folder name.","Một thư mục có cùng tên đã tồn tại. Hãy thử một tên thư mục khác."
"A page URL key for specified store already exists.","Một trang khóa URL của cửa hàng xác định đã tồn tại."
"Action","Hành động"
"Add New Block","Thêm Block mới"
"Add New Page","Thêm trang mới"
"All Countries","Tất cả các quốc gia"
"An error occurred while saving the page.","Đã xảy ra lỗi khi lưu trang."
"Anchor Custom Text","Tùy chỉnh văn bản"
"Anchor Custom Title","Tùy chỉnh tiêu đề"
"Are you sure you want to delete current folder?","Bạn chắc muốn xóa thư mục hiện tại?"
"Are you sure you want to delete the selected file?","Bạn chắc muốn xóa tập tin đã chọn?"
"Block","Block"
"Block Information","Thông tin Block"
"Block Title","Tiêu đề Block"
"CMS","CMS"
"CMS Content Wrapper","Khung nội dung CMS"
"CMS Home Page","Trang chủ CMS"
"CMS No Cookies Page","Trang CMS No Cookies"
"CMS No Route Page","Trang CMS No Route"
"CMS No-Route Page","Trang CMS No-Route"
"CMS Page","Trang CMS"
"CMS Page Link","Trang liên kết CMS"
"CMS Page Link Block Template","Trang liên kết CMS Block Template"
"CMS Page Link Inline Template","Trang liên kết CMS Inline Template"
"CMS Pages (All)","Trang CMS (Tất cả)"
"CMS Static Block","CMS Block tĩnh"
"CMS Static Block Default Template","CMS Block Template tĩnh mặc định"
"Cannot create new directory.","Không thể tạo thư mục mới."
"Cannot delete directory %s.","Không thể xóa thư mục %s."
"Cannot delete root directory %s.","Không thể xóa thư mục gốc %s."
"Cannot upload file.","Không thể tải lên tập tin."
"Collapse All","Thu gọn tất cả"
"Content","Nội dung"
"Content Heading","Nội dung tiêu đề"
"Content Management","Quản lý nội dung"
"Contents of a Static Block","Nội dung của Block tĩnh"
"Create Folder...","Tạo thư mục..."
"Custom Design","Tùy chỉnh thiết kế"
"Custom Design From","Tùy chỉnh thiết kế từ"
"Custom Design To","Tùy chỉnh thiết kế đến"
"Custom Layout","Tùy chỉnh giao diện"
"Custom Layout Update XML","Tùy chỉnh tải lên giao diện XML"
"Custom Theme","Tùy chỉnh Theme"
"Customer Tax Class Information","Thông tin loại thuế khách hàng"
"Date Created","Ngày tạo"
"Delete Block","Xóa Block"
"Delete File","Xóa tập tin"
"Delete Folder","Xóa thư mục"
"Delete Page","Xóa trang"
"Description","Mô tả"
"Design","Thiết kế"
"Disabled","Vô hiệu"
"Disabled Completely","Bị vô hiệu hóa hoàn toàn"
"Disabled by Default","Bị vô hiệu hóa bằng cách mặc định"
"Edit Block","Sửa Block"
"Edit Block '%s'","Sửa Block '%s'"
"Edit Page","Sửa trang"
"Edit Page '%s'","Sửa trang '%s'"
"Enable WYSIWYG Editor","Kích hoạt tính năng WYSIWYG Editor"
"Enabled","Kích hoạt"
"Enabled by Default","Kích hoạt theo mặc định"
"Expand All","Mở rộng tất cả"
"General Information","Thông tin chung"
"Go to Home Page","Đến trang chủ"
"Home","Trang chủ"
"ID","ID"
"Identifier","Nhận dạng"
"If empty, the Page Title will be used","Nếu để trống, tiêu đề trang sẽ được sử dụng"
"Images (%s)","Hình ảnh (%s)"
"Insert File","Chèn tập tin"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Tên thư mục không hợp lệ. Xin sử dụng các ký tự chữ và số, dấu gạch dưới và dấu gạch ngang."
"Keywords","Từ khóa"
"Last Modified","Sửa đổi lần cuối"
"Layout","Giao diện"
"Layout Update XML","Cập nhật giao diện XML"
"Link to a CMS Page","Liên kết tới trang CMS"
"Manage Pages","Quản lý trang"
"Media Gallery","Thư viện media"
"Media Storage","Lưu trữ media"
"Meta Data","Dữ liệu meta"
"Meta Description","Mô tả meta"
"Meta Keywords","Từ khóa meta"
"New Block","Block mới"
"New Folder Name:","Tên thư mục mới:"
"New Page","Trang mới"
"No files found","Không tìm thấy tập tin"
"Page Information","Thông tin trang"
"Page Layout","Giao diện trang"
"Page Status","Trạng thái trang"
"Page Title","Tiêu đề trang"
"Pages","Trang"
"Product Tax Class Information","Thông tin loại thuế của sản phẩm"
"Redirect to CMS-page if Cookies are Disabled","Chuyển tới trang CMS nếu Cookies bị vô hiệu hóa"
"Relative to Website Base URL","Liên quan đến URL trang web cơ sở"
"Save Block","Lưu Block"
"Save Page","Lưu trang"
"Save Process","Lưu tiến trình"
"Select Block...","Chọn Block..."
"Select Page...","Chọn trang..."
"Show Breadcrumbs for CMS Pages","Hiện Breadcrumbs cho trang CMS"
"Show Notice if JavaScript is Disabled","Hiện thông báo nếu JavaScript bị vô hiệu hóa"
"Static Blocks","Blocks tĩnh"
"Status","Trạng thái"
"Storage Root","Lưu trữ Root"
"Store View","Xem cửa hàng"
"Template","Mẫu"
"The block has been deleted.","Block đã bị xóa."
"The block has been saved.","Block đã được lưu."
"The directory %s is not writable by server.","Thư mục %s không ghi được vào máy chủ."
"The page URL key cannot consist only of numbers.","Chìa khóa trang URL không thể chỉ bao gồm các con số."
"The page URL key contains capital letters or disallowed symbols.","Chìa khóa trang URL có chứa chữ hoặc biểu tượng không được phép."
"The page has been deleted.","Trang đã bị xóa."
"The page has been saved.","Trang đã được lưu."
"The static block content cannot contain  directive with its self.","Nội dung của block tĩnh không thể tự chứa chỉ thị của nó."
"This block no longer exists.""Block này không còn tồn tại."
"This page no longer exists.","Trang này không còn tồn tại."
"Title","Tiêu đề"
"URL Key","Khóa URL"
"Unable to find a block to delete.","Không thể tìm thấy block để xóa."
"Unable to find a page to delete.","Không thể tìm thấy trang để xóa."
"WYSIWYG Options","Tùy chọn WYSIWYG"
"px.","px."
