"* Required Fields","* Phần bắt buộc"
"Comment","Nội dung cần liên hệ"
"Contact Form","Form liên hệ"
"Contact Information","Thông tin liên hệ"
"Contact Us","Liên hệ với chúng tôi"
"Contact Us Form","Form liên hệ với chúng tôi"
"Contacts","Liên hệ"
"Contacts Section","Liên hệ"
"Email","Email"
"Email Options","Tùy chọn Email"
"Email Sender","Email người gửi"
"Email Template","Mẫu Email"
"Enable Contact Us"."Kích hoạt tính năng liên hệ"
"Name","Tên"
"Send Emails To","Gởi các Email đến"
"Submit","Gởi đi"
"Telephone","Điện thoại"
"Unable to submit your request. Please, try again later","Không thể gửi yêu cầu của bạn. Xin vui lòng thử lại sau"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Yêu cầu của bạn đã được gửi đi và sẽ được trả lời sớm nhất có thể. Cám ơn bạn đã liên hệ với chúng tôi."
