"%s - Discounts and Coupons","%s - Giảm giá và phiếu giảm giá"
"%s - Special Products","%s - Sản phẩm đặc biệt"
"%s RSS Feed","%s Nguồn cấp dữ liệu RSS"
"%s has reached a quantity of %s.","%s đã đạt đến một số lượng của %s."
"%s\'s Wishlist","%s của danh sách ưa thích"
"Cannot retrieve the wishlist","Không thể lấy danh sách ưa thích"
"Catalog","Danh mục"
"Category Feeds","Nguồn cấp danh mục"
"Click for price","Nhấn vào giá"
"Comment: %s<br/>","Nhận xét: %s<br/>"
"Coupons/Discounts","Phiếu giảm giá/Giảm giá"
"Current Status: %s<br/>","Tình trạng hiện tại: %s<br/>"
"Customer Name: %s","Tên khách hàng: %s"
"Customer Order Status Notification","Thông báo tình trạng đơn hàng của khách hàng"
"Details for %s #%s","Chi tiết cho %s #%s"
"Discount","Giảm giá"
"Discount (%s)","Giảm giá (%s)"
"Enable RSS","Kích hoạt RSS"
"Error in processing xml. %s","Lỗi trong xử lý xml. %s"
"From:","Từ:"
"Get Feed","Xem nguồn cấp dữ liệu"
"Gift Message","Tin nhắn quà tặng"
"Grand Total","Tổng cộng"
"Low Stock Products","Sản phẩm ít tiêu thụ"
"Message:","Tin nhắn:"
"Miscellaneous Feeds","Nguồn cấp dữ liệu hỗn hợp"
"New Orders","Đơn đặt hàng mới"
"New Products","Sản phẩm mới"
"New Products from %s","Sản phẩm mới từ %s"
"Notified Date: %s<br/>","Thông báo ngày: %s<br/>"
"Order # %s Notification(s)","Đơn đặt hàng # %s thông báo (s)"
"Order #%s created at %s","Đơn đặt hàng #%s tạo vào %s"
"Pending product review(s)","Đang chờ xem xét sản phẩm"
"Product: ""%s"" review By: %s","Sản phẩm: """"%s"""" xem xét bởi: %s"
"Product: <a href=""%s"">%s</a> <br/>","Sản phẩm: <a href=""""%s"""">%s</a> <br/>"
"Products tagged with %s","Sản phẩm được tag với %s"
"Purchased From: %s","Mua từ: %s"
"RSS","RSS"
"RSS Feeds","Nguồn cấp dữ liệu RSS"
"RSS Feeds List","Danh sách nguồn cấp dữ liệu RSS"
"Review: %s <br/>","Đánh giá: %s <br/>"
"Rss Config","Cấu hình Rss"
"Rss Feeds Section","Mục nguồn cấp dữ liệu Rss"
"Shipping &amp; Handling","Vận chuyển &amp; Xử lý"""
"Special Products","Sản phẩm đặc biệt"
"Store: %s <br/>","Cửa hàng: %s <br/>"
"Subtotal","Tổng"
"Summary of review: %s <br/>","Tóm tắt đánh giá: %s <br/>"
"Tags Products","Tags sản phẩm"
"Tax","Thuế"
"There are no Rss Feeds","Không có nguồn cấp dữ liệu Rss"
"To:","Đến:"
"Top Level Category","Loại hàng bán chạy"
"Total: %s<br/>","Tổng: %s<br/>"
"Wishlist","Danh sách ưa thích"
"click <a href=""%s"">here</a> to view the review","nhấn vào <a href=""""%s"""">đây</a> để xem đánh giá"
