"All Websites","Toàn bộ Websites"""
"Apply Discounts To FPT","Áp dụng giảm giá cho FPT"""
"Apply Tax To FPT","Áp dụng thuế cho FPT"""
"Display Prices In Emails","Hiển thị giá trong Emails"""
"Display Prices In Product Lists","Hiển thị giá trong danh sách sản phẩm"""
"Display Prices In Sales Modules","Hiển thị giá trong mô-đun bán hàng"""
"Display Prices On Product View Page","Hiển thị giá trên trang xem sản phẩm"""
"Enable FPT","Kích hoạt FPT"""
"Excluding FPT","Không bao gồm FPT"""
"Excluding FPT, FPT description, final price","Không bao gồm FPT, mô tả FPT, giá bán"""
"Fixed Product Tax","Cố định thuế sản phẩm"""
"Fixed Product Taxes","Cố định thuế sản phẩm"""
"Include FPT In Subtotal","Bao gồm FPT trong tổng số phụ"""
"Including FPT and FPT description","Bao gồm FPT and mô tả FPT"""
"Including FPT and FPT description [incl. FPT VAT],tarBao gồm FPT and mô tả FPT [bao gồm thuế GTGT FPT]"""
"Including FPT only","Chỉ bao gồm FPT"""
"Total","Tổng cộng"""
"Total Incl. Tax","Tổng tiền đã bao gồm thuế"""
"Total incl. tax","Tổng tiền đã bao gồm thuế"""
